# Out-of-sample ladder: Calgary corpus (18 files), LZ4HC-9 literals, PH, M4, reps=7
# 372KB total lits; files 2.9-66KB; extractor identical to the Silesia pipeline.
# Nudge/auto/exact design frozen from Silesia tuning — nothing adjusted for Calgary.
# (bench gained inner-loop timing so tiny files span >= ~8MB per timed region)

LADDER G=4K reps=7 fse=0 (PH)
file            cfg    ratio   enc-e2e   dec-e2e     enc-k     dec-k build u/w   adopted
book2.lits      off   0.7200       958      6353      3567      8073       5.7         -
book2.lits    nudge   0.7183       772      7973      4166     10221       7.8       6/6
book2.lits     auto   0.7201       529      9441      4896     12707      12.5       6/6
book2.lits    exact   0.7200       323      9691      4960     12593      21.5       6/6
geo.lits        off   0.7868       579      5578      3566      7369      11.1         -
geo.lits      nudge   0.7865       482      7037      4201      9256      14.1       8/8
geo.lits       auto   0.7868       375      5531      3400      7268      18.2       0/8
geo.lits      exact   0.7843        86      7318      4360      9726      88.0       8/8
news.lits       off   0.7649       955      6009      3446      7667       5.6         -
news.lits     nudge   0.7650       865      7590      4111      9750       6.7       5/7
news.lits      auto   0.7642       536      8978      4682     11958      12.1       7/7
news.lits     exact   0.7640       301      8846      4638     11824      22.9       7/7
obj1.lits       off   0.9395       537      5133      3383      7298       6.5         -
obj1.lits     nudge   0.9383       390      5973      3641      8520       9.5       2/2
obj1.lits      auto   0.9459       208      6511      4505      9366      19.0       1/2
obj1.lits     exact   0.9422        58      6466      4351      9172      70.0       2/2
obj2.lits       off   0.9053       627      5699      3490      7610      10.4         -
obj2.lits     nudge   0.9042       508      6643      3869      8747      13.6       4/5
obj2.lits      auto   0.9092       366      7851      4613     10464      20.0       5/5
obj2.lits     exact   0.9075        95      7970      4886     10663      81.8       5/5
paper1.lits     off   0.7292       840      6627      3449      7827       6.0         -
paper1.lits   nudge   0.7265       577      7719      4303     10109      10.0       1/1
paper1.lits    auto   0.7282       286      8659      5036     11541      22.0       1/1
paper1.lits   exact   0.7274       157      8722      4881     11686      41.0       1/1
paper2.lits     off   0.6958       789      5989      3314      8091       4.0         -
paper2.lits   nudge   0.6938       728      6290      3461      8441       4.5       1/2
paper2.lits    auto   0.6917       348      8242      4499     11653      11.0       2/2
paper2.lits   exact   0.6922       203      7953      4449     11323      19.5       2/2
