===== h2h-silesia-base =====
per-block windows, fse=0, reps=8  (enc/dec MB/s, ratio=orig/comp)
               wins | huf0  enc  dec ratio | pvSMPL enc  dec ratio | pvBAL enc dec ratio
drkonqi.lits      1 |  1476  1430  1.11 |  1534  7205  1.10 |  1444 10212  1.09
emission.lits     21 |   715  1165  1.05 |  1281  6024  1.03 |   805  7112  1.03
firewrks.lits    104 |  1009  1419  1.05 |  1600  8302  1.04 |  1302 10947  1.04
flower.lits      84 |  1598  1455  1.11 |  1678  8568  1.10 |  1573 10158  1.10
gtkprint.lits      1 |   999  1249  1.13 |  1035  5797  1.12 |   754  5626  1.12
handler.lits      1 |   736   995  1.37 |   865  3502  1.34 |   441  5635  1.35
higrowth.lits      1 |  1519  1448  1.09 |  1648  8961  1.08 |  1449  8932  1.08
hungary.lits     29 |   249   377  1.60 |   478  2128  1.55 |   176  2357  1.56
libc06.lits       1 |  1232  1325  1.20 |  1289  7851  1.20 |  1084 11481  1.20
lusiadas.lits      6 |  1145  1620  1.43 |  1197  8887  1.42 |  1059 10259  1.42
lzfindmt.lits      1 |   881  1046  1.35 |   943  4947  1.33 |   502  4753  1.33
mailflder.lits      1 |  1013  1051  1.45 |  1197  6006  1.44 |   844 10182  1.44
mirror.lits       1 |  1506  1433  1.12 |  1629  7472  1.11 |  1489 10875  1.10
modern.lits       3 |  1537  1762  1.55 |  1726  8765  1.54 |  1438 12065  1.54
nightsht.lits    824 |  1057  1356  1.08 |  1337  6321  1.08 |  1179  9673  1.08
render.lits       1 |   801  1055  1.34 |   940  4115  1.31 |   498  7264  1.32
thunder.lits     77 |  1205  1683  1.24 |  1339  9276  1.24 |  1231 10287  1.23
ultima.lits      55 |  3346  7583  1.02 |  1752 28019  1.02 |  1369 31076  1.02
usstate.lits      1 |   605   919  1.38 |   799  3467  1.34 |   395  5441  1.35
venus.lits      151 |  1718  1488  1.10 |  1998  9331  1.10 |  1956 12043  1.10
w01vett.lits     11 |   840   958  1.54 |   961  4326  1.51 |   423  5813  1.52
wnvcrdt.lits      3 |   743   912  1.49 |   933  4318  1.47 |   417  5088  1.47
xmlevent.lits      1 |   598   909  1.35 |   765  3512  1.32 |   350  3251  1.32
== geomean          |  1067  1422  1.25 |  1217  6721  1.23 |   830  8597  1.23

===== h2h-silesia-v43 =====
per-block windows, fse=0, reps=8  (enc/dec MB/s, ratio=orig/comp)
               wins | huf0  enc  dec ratio | pvSMPL enc  dec ratio | pvBAL enc dec ratio
dickens.lits     78 |  1330  1206  1.52 |  1295  6578  1.50 |   926 10040  1.50
mozilla.lits   1481 |  1092  1574  1.09 |  1070  4916  1.09 |   824  5727  1.09
mr.lits          77 |  1100  1379  1.20 |  1416  7648  1.19 |  1133  7669  1.19
nci.lits        256 |   944   976  1.84 |  1071  5617  1.81 |   586  6805  1.82
ooffice.lits    102 |  1320  1407  1.13 |  1466  6631  1.13 |  1384  9262  1.12
osdb.lits        77 |  1459  1405  1.14 |  1856  8025  1.13 |  1526  8007  1.13
reymont.lits     51 |  1122  1167  1.37 |  1211  5950  1.36 |   685  8610  1.36
samba.lits      385 |  1093  2153  1.12 |  1143  9078  1.12 |   855 15675  1.12
sao.lits        306 |  1025  1336  1.04 |  1423  6392  1.03 |  1196  7485  1.03
webster.lits    317 |  1223  1224  1.49 |  1151  6303  1.48 |   888  9359  1.48
x-ray.lits       66 |  1451  1562  1.18 |  1304  8797  1.18 |  1267 10200  1.17
xml.lits         47 |  1032  1176  1.52 |  1140  5787  1.51 |   657  7606  1.51
== geomean          |  1171  1354  1.28 |  1280  6701  1.28 |   952  8598  1.27

===== h2h-prague-v43 =====
per-block windows, fse=0, reps=8  (enc/dec MB/s, ratio=orig/comp)
               wins | huf0  enc  dec ratio | pvSMPL enc  dec ratio | pvBAL enc dec ratio
abbot.lits       12 |  6569 81118  1.00 |  2254 82678  1.00 |  2098 82678  1.00
age.lits          2 |  1291  1386  1.05 |  1598  7468  1.04 |  1322  9327  1.03
bovary.lits      17 |  1370  1340  1.20 |  1526  7454  1.20 |  1297 14558  1.19
collapse.lits      1 |   434   727  1.41 |   487  2200  1.34 |   168  2031  1.34
compress.lits      1 |  1350  1313  1.37 |  1430  8340  1.36 |  1203 12461  1.34
corilis.lits     69 |   932  1255  1.05 |  1329  5573  1.04 |   999  7750  1.04
cyprus.lits       5 |   562   745  1.61 |   815  4307  1.59 |   380  5293  1.59
drkonqi.lits      1 |  1461  1429  1.11 |  1497  6683  1.10 |  1385  8854  1.09
emission.lits     21 |   714  1166  1.05 |  1172  5078  1.04 |   770  5850  1.04
firewrks.lits    104 |  1008  1422  1.05 |  1481  7235  1.04 |  1201  9930  1.04
flower.lits      84 |  1590  1456  1.11 |  1643  8488  1.10 |  1547 10077  1.10
gtkprint.lits      1 |   980  1249  1.13 |   965  4567  1.12 |   716  4508  1.12
handler.lits      1 |   737  1003  1.37 |   771  3492  1.34 |   414  5502  1.35
higrowth.lits      1 |  1510  1449  1.09 |  1626  8683  1.09 |  1423  8639  1.09
hungary.lits     29 |   248   376  1.60 |   450  2144  1.55 |   172  2294  1.56
libc06.lits       1 |  1229  1328  1.20 |  1272  7664  1.20 |  1083 11087  1.20
lusiadas.lits      6 |  1141  1631  1.43 |  1176  8677  1.42 |  1043 10039  1.42
lzfindmt.lits      1 |   880  1048  1.35 |   867  4973  1.33 |   485  5125  1.33
mailflder.lits      1 |  1001  1051  1.45 |  1147  5921  1.44 |   817 10096  1.44
mirror.lits       1 |  1537  1437  1.12 |  1567  6976  1.12 |  1439  9563  1.10
modern.lits       3 |  1483  1785  1.55 |  1661  8729  1.54 |  1386 11811  1.54
nightsht.lits    824 |  1049  1356  1.08 |  1277  5905  1.08 |  1139  9230  1.08
render.lits       1 |   799  1060  1.34 |   830  3995  1.31 |   470  7202  1.32
thunder.lits     77 |  1198  1684  1.24 |  1321  8853  1.24 |  1221 10027  1.23
ultima.lits      55 |  3325  7583  1.02 |  1715 26055  1.02 |  1319 30197  1.02
usstate.lits      1 |   597   906  1.38 |   689  3392  1.34 |   372  5448  1.35
venus.lits      151 |  1692  1488  1.10 |  1909  9072  1.10 |  1891 11600  1.10
w01vett.lits     11 |   840   946  1.54 |   944  4304  1.51 |   426  5813  1.52
wnvcrdt.lits      3 |   734   912  1.49 |   873  4370  1.47 |   409  5030  1.47
xmlevent.lits      1 |   592   918  1.35 |   670  3384  1.32 |   327  3410  1.32
== geomean          |  1059  1421  1.25 |  1149  6408  1.23 |   800  8184  1.23

