--- Selkie HyperFast1 ---
file               bytes |  ratio | enc MB/s | dec MB/s |
webster         41458703 |  3.100 |      443 |     2736 |
x-ray            8474240 |  1.510 |      313 |     1613 |
xml              5345280 |  7.491 |     1095 |     4090 |
==                       |  3.038 |      544 |     2783 |  geomean/12
--- Kraken VeryFast ---
file               bytes |  ratio | enc MB/s | dec MB/s |
dickens         10192446 |  2.808 |      291 |     2812 |
mozilla         51220480 |  3.068 |      288 |     2768 |
mr               9970564 |  2.912 |      263 |     2131 |
nci             33553445 | 12.724 |      972 |     5421 |
ooffice          6152192 |  2.081 |      196 |     2301 |
osdb            10085684 |  2.968 |      384 |     3178 |
reymont          6627202 |  3.364 |      340 |     3319 |
samba           21606400 |  4.480 |      508 |     3938 |
sao              7251944 |  1.411 |      193 |     2553 |
webster         41458703 |  3.508 |      322 |     2792 |
x-ray            8474240 |  1.624 |      141 |     1687 |
xml              5345280 |  8.489 |      785 |     4389 |
==                       |  3.354 |      334 |     2961 |  geomean/12
--- Kraken Normal ---
file               bytes |  ratio | enc MB/s | dec MB/s |
dickens         10192446 |  3.107 |       65 |     3216 |
mozilla         51220480 |  3.379 |       61 |     2791 |
mr               9970564 |  3.171 |       70 |     2917 |
nci             33553445 | 14.810 |      244 |     6012 |
ooffice          6152192 |  2.218 |       73 |     2452 |
osdb            10085684 |  3.121 |       91 |     3067 |
reymont          6627202 |  3.974 |       87 |     3575 |
samba           21606400 |  4.994 |      104 |     4106 |
sao              7251944 |  1.470 |       48 |     3179 |
webster         41458703 |  4.043 |       66 |     2156 |
x-ray            8474240 |  1.656 |       40 |     1757 |
xml              5345280 |  9.948 |      228 |     4824 |
==                       |  3.702 |       84 |     3165 |  geomean/12
--- Kraken Optimal2 ---
file               bytes |  ratio | enc MB/s | dec MB/s |
dickens         10192446 |  3.568 |        4 |     3274 |
mozilla         51220480 |  3.656 |        4 |     2849 |
mr               9970564 |  3.436 |        7 |     3272 |
nci             33553445 | 19.175 |        5 |     6827 |
ooffice          6152192 |  2.384 |        6 |     2398 |
osdb            10085684 |  3.394 |        7 |     3176 |
reymont          6627202 |  4.909 |        4 |     3085 |
samba           21606400 |  5.618 |        6 |     4123 |
sao              7251944 |  1.585 |        9 |     3052 |
webster         41458703 |  4.857 |        2 |     2324 |
x-ray            8474240 |  1.742 |       11 |     1833 |
xml              5345280 | 11.598 |       10 |     5533 |
==                       |  4.197 |        6 |     3262 |  geomean/12
