Reading package lists...
No VM guests are running outdated hypervisor (qemu) binaries on this host.
19
19
-- Build files have been written to: /home/ubuntu/main/build
[100%] Built target pivco_huffman_tests
main built OK
-- Build files have been written to: /home/ubuntu/tip/build
[100%] Built target pivco_huffman_tests
tip built OK
-- Build files have been written to: /home/ubuntu/main-ni/build
[100%] Built target pivco_huffman_tests
main-ni built OK
-- Build files have been written to: /home/ubuntu/tip-ni/build
[100%] Built target pivco_huffman_tests
tip-ni built OK
tip-ni tests: === ALL PASSED (0 failures) ===
== dec main r1 ==
DECODE M/s    | pivco_s pivco_n pivco_bu | trad_4s | huf0_x1 huf0_x2 |   ratio
prose_pride   |      71    8231    8243 |     843 |    1113    1691 |  4.87x
image_jpeg    |     114    9492    9500 |     839 |       0       0 | 11.33x
json_api      |     124    7404    7632 |     839 |    1115    1559 |  4.89x
dna_fasta     |     117    6744    6752 |     853 |    1122    1865 |  3.62x
chinese_text  |      83    6320    6366 |     830 |    1111    1501 |  4.24x
calgary_pic   |     378    4410    4421 |     845 |    1107    1623 |  2.72x

== dec main r3 ==
DECODE M/s    | pivco_s pivco_n pivco_bu | trad_4s | huf0_x1 huf0_x2 |   ratio
--------------|-------------------------|---------|------------------|--------
proba80       |     329    4893    4885 |     869 |    1125    1868 |  2.62x
english       |      93   10742   10771 |     856 |    1118    1806 |  5.96x
html_wiki     |     107    5897    5892 |     831 |    1111    1501 |  3.93x
prose_pride   |      71    8169    8254 |     841 |    1113    1690 |  4.88x
image_jpeg    |     114    9464    9533 |     844 |       0       0 | 11.29x
json_api      |     124    7418    7632 |     835 |    1115    1560 |  4.89x
dna_fasta     |     117    6759    6755 |     854 |    1122    1865 |  3.62x
chinese_text  |      83    6365    6405 |     837 |    1110    1502 |  4.27x
calgary_pic   |     377    4379    4388 |     845 |    1107    1626 |  2.70x

== dec tip r3 ==
DECODE M/s    | pivco_s pivco_n pivco_bu | trad_4s | huf0_x1 huf0_x2 |   ratio
--------------|-------------------------|---------|------------------|--------
proba80       |     270    4722    4743 |     870 |    1124    1868 |  2.54x
english       |      95   10661   10625 |     857 |    1119    1808 |  5.90x
html_wiki     |     109    5718    5753 |     841 |    1111    1500 |  3.83x
prose_pride   |      71    7728    7793 |     844 |    1112    1692 |  4.60x
image_jpeg    |     116    9085    9308 |     850 |       0       0 | 10.95x
json_api      |     129    7184    7198 |     843 |    1115    1558 |  4.62x
dna_fasta     |     115    6760    6765 |     859 |    1122    1863 |  3.63x
chinese_text  |      84    6177    6230 |     842 |    1110    1499 |  4.16x
calgary_pic   |     375    4254    4267 |     848 |    1107    1624 |  2.63x

== dec main-ni r3 ==
DECODE M/s    | pivco_s pivco_n pivco_bu | trad_4s | huf0_x1 huf0_x2 |   ratio
--------------|-------------------------|---------|------------------|--------
proba80       |     328    4865    4864 |     870 |    1125    1869 |  2.60x
