ab_wire  G=16384  joint=coarse  (A = wire v5, B = wire v4; ratio>1 = v5 faster)
file              windows |     decA     decB  d-A/B |     encA     encB  e-A/B
dickens.lits           43 |    14279    14462 0.987 |     7353     7335 1.002
mozilla.lits          690 |    12022    12253 0.981 |     6319     6300 1.003
mr.lits                96 |     8826     9143 0.965 |     5023     5029 0.999
nci.lits               51 |    14429    14603 0.988 |     7530     7564 0.996
ooffice.lits          106 |    10592    10797 0.981 |     5898     5842 1.010
osdb.lits             125 |    11637    11823 0.984 |     6349     6297 1.008
reymont.lits           22 |    15396    15351 1.003 |     7764     7679 1.011
samba.lits            145 |    24387    24657 0.989 |     9383     9413 0.997
sao.lits              239 |     9391     9528 0.986 |     5619     5587 1.006
webster.lits          176 |    13357    13547 0.986 |     6983     7014 0.996
x-ray.lits            295 |    10193    10402 0.980 |     5892     5844 1.008
xml.lits               11 |    13596    13671 0.995 |     6996     7007 0.998
geomean dec 0.985  enc 1.003  (12 files)
