ab_wire  B=4096 T=65535 joint=coarse  (A = wire v5, B = wire v4; ratio>1 = v5 faster)
file              windows |     decA     decB  d-A/B |     encA     encB  e-A/B
dickens.lits          160 |    11105    10915 1.017 |     6472     6551 0.988
mozilla.lits         2752 |     8242     8526 0.967 |     5186     5086 1.020
mr.lits               384 |     7352     7240 1.015 |     4394     4364 1.007
nci.lits              192 |    10929    11749 0.930 |     6509     6537 0.996
ooffice.lits          416 |     9121     8998 1.014 |     5523     5575 0.991
osdb.lits             496 |     8201     8423 0.974 |     4869     4905 0.993
reymont.lits           80 |    10981    11104 0.989 |     6217     6291 0.988
samba.lits            576 |    18442    18556 0.994 |     8574     8707 0.985
sao.lits              944 |     7299     7353 0.993 |     4684     4731 0.990
webster.lits          704 |    10584    10452 1.013 |     6198     6297 0.984
x-ray.lits           1168 |     8638     8702 0.993 |     5509     5484 1.005
xml.lits               32 |    11795    12081 0.976 |     6281     6446 0.974
geomean dec 0.989  enc 0.993  (12 files)
