ab_wire  B=32768 T=65535 joint=coarse  (A = wire v5, B = wire v4; ratio>1 = v5 faster)
file              windows |     decA     decB  d-A/B |     encA     encB  e-A/B
dickens.lits           20 |    14191    13852 1.024 |     7196     7316 0.984
mozilla.lits          344 |    11665    12194 0.957 |     6216     6306 0.986
mr.lits                48 |     8692     9205 0.944 |     4999     5085 0.983
nci.lits               24 |    14809    14888 0.995 |     7458     7656 0.974
ooffice.lits           52 |    10260    10689 0.960 |     5831     5895 0.989
osdb.lits              62 |     9861    10348 0.953 |     5449     5572 0.978
reymont.lits           10 |    13987    13559 1.032 |     6979     7179 0.972
samba.lits             72 |    22893    23165 0.988 |     8880     8928 0.995
sao.lits              118 |     8825     9151 0.964 |     5331     5391 0.989
webster.lits           88 |    13214    13294 0.994 |     6934     6980 0.993
x-ray.lits            146 |    10125    10369 0.976 |     5794     5861 0.989
xml.lits                4 |    14433    14402 1.002 |     7237     7355 0.984
geomean dec 0.982  enc 0.985  (12 files)
