ab_wire  B=16384 T=65535 joint=coarse  (A = wire v5, B = wire v4; ratio>1 = v5 faster)
file              windows |     decA     decB  d-A/B |     encA     encB  e-A/B
dickens.lits           40 |    14004    13917 1.006 |     7191     7199 0.999
mozilla.lits          688 |    11577    11800 0.981 |     6151     6165 0.998
mr.lits                96 |     8702     9013 0.966 |     4986     5045 0.988
nci.lits               48 |    14183    14179 1.000 |     7429     7525 0.987
ooffice.lits          104 |    10527    10686 0.985 |     5953     5902 1.009
osdb.lits             124 |     9964    10192 0.978 |     5418     5436 0.997
reymont.lits           20 |    13639    13254 1.029 |     7064     7027 1.005
samba.lits            144 |    22517    22729 0.991 |     8887     8822 1.007
sao.lits              236 |     8857     8948 0.990 |     5305     5336 0.994
webster.lits          176 |    13125    13114 1.001 |     6938     6947 0.999
x-ray.lits            292 |    10202    10390 0.982 |     5822     5806 1.003
xml.lits                8 |    14338    14227 1.008 |     7173     7337 0.978
geomean dec 0.993  enc 0.997  (12 files)
