ab_wire  B=8192 T=65535 joint=coarse  (A = wire v5, B = wire v4; ratio>1 = v5 faster)
file              windows |     decA     decB  d-A/B |     encA     encB  e-A/B
dickens.lits           80 |    12880    13067 0.986 |     6999     7113 0.984
mozilla.lits         1376 |    10401    10758 0.967 |     5936     5911 1.004
mr.lits               192 |     8140     8579 0.949 |     4816     4822 0.999
nci.lits               96 |    12958    13535 0.957 |     7060     7172 0.984
ooffice.lits          208 |    10034    10320 0.972 |     5865     5846 1.003
osdb.lits             248 |     9373     9817 0.955 |     5326     5335 0.998
reymont.lits           40 |    12541    12844 0.976 |     6745     6864 0.983
samba.lits            288 |    20493    20982 0.977 |     8757     8870 0.987
sao.lits              472 |     8303     8577 0.968 |     5097     5151 0.990
webster.lits          352 |    11916    12351 0.965 |     6712     6763 0.992
x-ray.lits            584 |     9655     9890 0.976 |     5773     5721 1.009
xml.lits               16 |    13346    13651 0.978 |     6975     7067 0.987
geomean dec 0.969  enc 0.993  (12 files)
