ab_wire  B=24576 T=65535 joint=coarse  (A = wire v5, B = wire v4; ratio>1 = v5 faster)
file              windows |     decA     decB  d-A/B |     encA     encB  e-A/B
dickens.lits           30 |    13959    14014 0.996 |     7246     7339 0.987
mozilla.lits          516 |    11683    12074 0.968 |     6201     6292 0.986
mr.lits                72 |     8734     9135 0.956 |     4984     5090 0.979
nci.lits               36 |    14292    14562 0.981 |     7455     7640 0.976
ooffice.lits           78 |    10298    10610 0.971 |     5920     5953 0.995
osdb.lits              93 |     9918    10337 0.959 |     5532     5595 0.989
reymont.lits           15 |    13632    13554 1.006 |     7083     7175 0.987
samba.lits            108 |    22228    22614 0.983 |     8914     8960 0.995
sao.lits              177 |     8789     9032 0.973 |     5304     5427 0.977
webster.lits          132 |    13056    13136 0.994 |     6920     7024 0.985
x-ray.lits            219 |    10094    10363 0.974 |     5884     5913 0.995
xml.lits                6 |    14245    14502 0.982 |     7193     7430 0.968
geomean dec 0.979  enc 0.985  (12 files)
