ab_wire  B=2048 T=65535 joint=off  (A = wire v5, B = wire v4; ratio>1 = v5 faster)
file              windows |     decA     decB  d-A/B |     encA     encB  e-A/B
dickens.lits          320 |     5911     5844 1.011 |     3727     3439 1.084
mozilla.lits         5504 |     4563     4797 0.951 |     3402     3152 1.079
mr.lits               768 |     5791     5985 0.968 |     3794     3556 1.067
nci.lits              384 |     6299     6657 0.946 |     4052     3734 1.085
ooffice.lits          832 |     4278     4893 0.874 |     3113     2844 1.095
osdb.lits             992 |     5670     5839 0.971 |     3518     3242 1.085
reymont.lits          160 |     7155     7723 0.926 |     4381     4072 1.076
samba.lits           1152 |     6194     6728 0.921 |     4271     4037 1.058
sao.lits             1888 |     5616     5805 0.967 |     4002     3781 1.059
webster.lits         1408 |     4544     5225 0.870 |     3510     3202 1.096
x-ray.lits           2336 |     5071     5488 0.924 |     3689     3416 1.080
xml.lits               64 |     6344     6193 1.024 |     4013     3805 1.055
geomean dec 0.945  enc 1.076  (12 files)
