ab_wire3  G=32768  joint=off  (A = v6 larger-first, R = v6 right-first, B = v4; ratio>1 = v6 faster)
file            windows |    decA    decR    decB   dA/B   dR/B |    encA    encR    encB   eA/B   eR/B |  v4bytes    sv%
dickens.lits         21 |    9121    9255    9655  0.945  0.959 |    5558    5565    5449  1.020  1.021 |   448063  0.137
mozilla.lits        345 |    9641    9727   10149  0.950  0.958 |    5648    5657    5515  1.024  1.026 | 10652168  0.079
mr.lits              48 |    8925    8971    9371  0.952  0.957 |    5309    5312    5186  1.024  1.024 |  1248098  0.096
nci.lits             25 |   10163   10385   10828  0.939  0.959 |    6032    6057    5882  1.025  1.030 |   425939  0.144
ooffice.lits         53 |    8039    8058    8485  0.947  0.950 |    4748    4754    4630  1.025  1.027 |  1589951  0.111
osdb.lits            62 |    8637    8635    9135  0.945  0.945 |    4999    5012    4891  1.022  1.025 |  1802024  0.094
reymont.lits         11 |   11365   11847   12154  0.935  0.975 |    6728    6698    6557  1.026  1.021 |   248567  0.106
samba.lits           72 |   10362   10356   10892  0.951  0.951 |    6153    6167    6015  1.023  1.025 |  2094521  0.071
sao.lits            119 |    8802    8737    9235  0.953  0.946 |    5544    5547    5432  1.021  1.021 |  3778622  0.067
webster.lits         88 |    8986    9164    9633  0.933  0.951 |    5525    5523    5398  1.024  1.023 |  1908452  0.144
x-ray.lits          147 |    8397    8434    8841  0.950  0.954 |    5230    5232    5108  1.024  1.024 |  4060661  0.086
xml.lits              5 |   10491   10576   10799  0.971  0.979 |    6049    6042    5928  1.020  1.019 |   113868  0.112
geomean dec A/B 0.948  R/B 0.957 | enc A/B 1.023  R/B 1.024 | mean saving 0.104%  (12 files)
