ab_wire3  G=16384  joint=off  (A = v6 larger-first, R = v6 right-first, B = v4; ratio>1 = v6 faster)
file            windows |    decA    decR    decB   dA/B   dR/B |    encA    encR    encB   eA/B   eR/B |  v4bytes    sv%
dickens.lits         43 |    8470    8475    9598  0.883  0.883 |    5602    5578    5339  1.049  1.045 |   459099  0.257
mozilla.lits        690 |    7499    7568    8703  0.862  0.870 |    5189    5199    4958  1.047  1.049 | 10605627  0.173
mr.lits              96 |    8113    8159    9143  0.887  0.892 |    5279    5251    5053  1.045  1.039 |  1242291  0.201
nci.lits             51 |    9449    9442   10820  0.873  0.873 |    6069    6042    5851  1.037  1.033 |   434471  0.277
ooffice.lits        106 |    7232    7263    8217  0.880  0.884 |    4716    4711    4466  1.056  1.055 |  1584610  0.229
osdb.lits           125 |    8096    8114    9243  0.876  0.878 |    5057    5072    4837  1.046  1.049 |  1817960  0.190
reymont.lits         22 |    9892    9876   11128  0.889  0.888 |    6241    6246    5969  1.046  1.046 |   248736  0.217
samba.lits          145 |    8958    8929   10013  0.895  0.892 |    5924    5881    5675  1.044  1.036 |  2099615  0.144
sao.lits            239 |    8277    8305    9228  0.897  0.900 |    5688    5690    5456  1.042  1.043 |  3775559  0.127
webster.lits        176 |    8256    8272    9470  0.872  0.874 |    5510    5472    5253  1.049  1.042 |  1910286  0.272
x-ray.lits          295 |    7642    7674    8646  0.884  0.888 |    5216    5190    4995  1.044  1.039 |  4076288  0.182
xml.lits             11 |    9023    9019   10152  0.889  0.888 |    5820    5774    5546  1.049  1.041 |   123678  0.226
geomean dec A/B 0.882  R/B 0.884 | enc A/B 1.046  R/B 1.043 | mean saving 0.208%  (12 files)
