ab_wire3  G=32768  joint=off  (A = v6 larger-first, R = v6 right-first, B = v4; ratio>1 = v6 faster)
file            windows |    decA    decR    decB   dA/B   dR/B |    encA    encR    encB   eA/B   eR/B |  v4bytes    sv%
dickens.lits         21 |    9140    9156    9677  0.945  0.946 |    5583    5592    5464  1.022  1.024 |   448063  0.137
mozilla.lits        345 |    9622    9682   10144  0.949  0.955 |    5684    5693    5536  1.027  1.028 | 10652168  0.079
mr.lits              48 |    8941    8937    9347  0.957  0.956 |    5310    5342    5214  1.019  1.025 |  1248098  0.096
nci.lits             25 |   10210   10164   10797  0.946  0.941 |    6053    6068    5902  1.026  1.028 |   425939  0.144
ooffice.lits         53 |    8036    8060    8452  0.951  0.954 |    4766    4780    4642  1.027  1.030 |  1589951  0.111
osdb.lits            62 |    8691    8684    9149  0.950  0.949 |    5030    5043    4904  1.026  1.028 |  1802024  0.094
reymont.lits         11 |   11397   11371   12139  0.939  0.937 |    6732    6752    6562  1.026  1.029 |   248567  0.106
samba.lits           72 |   10422   10445   10938  0.953  0.955 |    6165    6189    6029  1.023  1.026 |  2094521  0.071
sao.lits            119 |    8860    8845    9249  0.958  0.956 |    5571    5602    5469  1.019  1.024 |  3778622  0.067
webster.lits         88 |    9000    8996    9606  0.937  0.936 |    5528    5553    5395  1.025  1.029 |  1908452  0.144
x-ray.lits          147 |    8414    8409    8827  0.953  0.953 |    5254    5296    5127  1.025  1.033 |  4060661  0.086
xml.lits              5 |   10471   10228   10793  0.970  0.948 |    6086    6106    5954  1.022  1.026 |   113868  0.112
geomean dec A/B 0.950  R/B 0.949 | enc A/B 1.024  R/B 1.028 | mean saving 0.104%  (12 files)
