ab_wire3  G=32768  joint=coarse  (A = v6 larger-first, R = v6 right-first, B = v4; ratio>1 = v6 faster)
file            windows |    decA    decR    decB   dA/B   dR/B |    encA    encR    encB   eA/B   eR/B |  v4bytes    sv%
dickens.lits         21 |   13446   13348   14237  0.944  0.938 |    7540    7584    7404  1.018  1.024 |   449484  0.057
mozilla.lits        345 |   11969   11899   12469  0.960  0.954 |    6615    6637    6470  1.022  1.026 | 10690179  0.048
mr.lits              48 |    8943    8945    9372  0.954  0.954 |    5311    5332    5183  1.025  1.029 |  1248098  0.096
nci.lits             25 |   14322   14092   14976  0.956  0.941 |    7809    7803    7704  1.014  1.013 |   427085  0.079
ooffice.lits         53 |   10421   10395   10849  0.961  0.958 |    6046    6073    5928  1.020  1.025 |  1602317  0.039
osdb.lits            62 |   10750   10778   11194  0.960  0.963 |    6174    6180    6087  1.014  1.015 |  1820785  0.049
reymont.lits         11 |   14341   14224   15094  0.950  0.942 |    7801    7786    7692  1.014  1.012 |   248813  0.044
samba.lits           72 |   22529   22428   23229  0.970  0.966 |    9374    9368    9220  1.017  1.016 |  2100757  0.019
sao.lits            119 |    8878    8877    9258  0.959  0.959 |    5578    5604    5473  1.019  1.024 |  3780834  0.066
webster.lits         88 |   12752   12622   13465  0.947  0.937 |    7158    7210    7011  1.021  1.028 |  1913692  0.060
x-ray.lits          147 |    9992    9997   10436  0.957  0.958 |    5976    5994    5858  1.020  1.023 |  4090577  0.047
xml.lits              5 |   13323   13135   13483  0.988  0.974 |    7195    7250    7046  1.021  1.029 |   114453  0.063
geomean dec A/B 0.959  R/B 0.954 | enc A/B 1.019  R/B 1.022 | mean saving 0.055%  (12 files)
