ab_wire3  G=16384  joint=coarse  (A = v6 larger-first, R = v6 right-first, B = v4; ratio>1 = v6 faster)
file            windows |    decA    decR    decB   dA/B   dR/B |    encA    encR    encB   eA/B   eR/B |  v4bytes    sv%
dickens.lits         43 |   13549   13394   14275  0.949  0.938 |    7494    7524    7293  1.028  1.032 |   460376  0.113
mozilla.lits        690 |   11257   11347   12006  0.938  0.945 |    6474    6514    6257  1.035  1.041 | 10636265  0.097
mr.lits              96 |    8501    8525    9068  0.937  0.940 |    5197    5238    5018  1.036  1.044 |  1242291  0.201
nci.lits             51 |   13853   13752   14709  0.942  0.935 |    7716    7715    7534  1.024  1.024 |   435698  0.147
ooffice.lits        106 |   10164   10176   10724  0.948  0.949 |    5991    6022    5830  1.028  1.033 |  1594240  0.083
osdb.lits           125 |   11132   11189   11825  0.941  0.946 |    6394    6450    6276  1.019  1.028 |  1837836  0.084
reymont.lits         22 |   14668   14411   15257  0.961  0.945 |    7806    7816    7619  1.025  1.026 |   248886  0.083
samba.lits          145 |   23241   23165   24470  0.950  0.947 |    9507    9388    9264  1.026  1.013 |  2105087  0.036
sao.lits            239 |    8905    8954    9426  0.945  0.950 |    5779    5805    5580  1.036  1.040 |  3789443  0.107
webster.lits        176 |   12547   12484   13418  0.935  0.930 |    7173    7200    6966  1.030  1.034 |  1913895  0.113
x-ray.lits          295 |    9684    9718   10224  0.947  0.950 |    5952    5984    5812  1.024  1.030 |  4103541  0.094
xml.lits             11 |   12946   12864   13560  0.955  0.949 |    7148    7177    6932  1.031  1.035 |   124022  0.118
geomean dec A/B 0.946  R/B 0.944 | enc A/B 1.028  R/B 1.032 | mean saving 0.106%  (12 files)
