ab_wire3  G=32768  joint=coarse  (A = v6 larger-first, R = v6 right-first, B = v4; ratio>1 = v6 faster)
file            windows |    decA    decR    decB   dA/B   dR/B |    encA    encR    encB   eA/B   eR/B |  v4bytes    sv%
dickens.lits         21 |   12439   12747   14183  0.877  0.899 |    7569    7564    7424  1.020  1.019 |   449484  0.057
mozilla.lits        345 |   11259   11417   12492  0.901  0.914 |    6663    6657    6534  1.020  1.019 | 10690179  0.048
mr.lits              48 |    8346    8444    9361  0.892  0.902 |    5345    5328    5214  1.025  1.022 |  1248098  0.096
nci.lits             25 |   13362   13289   14952  0.894  0.889 |    7833    7795    7726  1.014  1.009 |   427085  0.079
ooffice.lits         53 |    9759    9907   10795  0.904  0.918 |    6099    6086    5959  1.024  1.021 |  1602317  0.039
osdb.lits            62 |   10140   10348   11248  0.902  0.920 |    6217    6198    6107  1.018  1.015 |  1820785  0.049
reymont.lits         11 |   13349   13252   15143  0.882  0.875 |    7794    7802    7705  1.012  1.013 |   248813  0.044
samba.lits           72 |   21158   21459   23192  0.912  0.925 |    9381    9333    9220  1.018  1.012 |  2100757  0.019
sao.lits            119 |    8420    8503    9300  0.905  0.914 |    5611    5605    5510  1.018  1.017 |  3780834  0.066
webster.lits         88 |   11805   12025   13458  0.877  0.894 |    7184    7198    7055  1.018  1.020 |  1913692  0.060
x-ray.lits          147 |    9366    9457   10384  0.902  0.911 |    5983    5974    5860  1.021  1.019 |  4090577  0.047
xml.lits              5 |   12305   12373   13565  0.907  0.912 |    7235    7284    7101  1.019  1.026 |   114453  0.063
geomean dec A/B 0.896  R/B 0.906 | enc A/B 1.019  R/B 1.018 | mean saving 0.055%  (12 files)
