ab_wire3  G=32768  joint=off  (A = v6 larger-first, R = v6 right-first, B = v4; ratio>1 = v6 faster)
file            windows |    decA    decR    decB   dA/B   dR/B |    encA    encR    encB   eA/B   eR/B |  v4bytes    sv%
dickens.lits         21 |    9154    9112    9651  0.949  0.944 |    5620    5640    5492  1.023  1.027 |   448063  0.137
mozilla.lits        345 |    9677    9696   10199  0.949  0.951 |    5727    5734    5601  1.023  1.024 | 10652168  0.079
mr.lits              48 |    8959    8910    9385  0.955  0.949 |    5344    5361    5230  1.022  1.025 |  1248098  0.096
nci.lits             25 |   10215   10202   10825  0.944  0.942 |    6090    6090    5896  1.033  1.033 |   425939  0.144
ooffice.lits         53 |    8052    8085    8460  0.952  0.956 |    4791    4832    4674  1.025  1.034 |  1589951  0.111
osdb.lits            62 |    8707    8706    9145  0.952  0.952 |    5039    5046    4912  1.026  1.027 |  1802024  0.094
reymont.lits         11 |   11444   11364   12180  0.940  0.933 |    6762    6772    6588  1.026  1.028 |   248567  0.106
samba.lits           72 |   10459   10408   10904  0.959  0.955 |    6196    6233    6052  1.024  1.030 |  2094521  0.071
sao.lits            119 |    8951    8881    9297  0.963  0.955 |    5587    5621    5488  1.018  1.024 |  3778622  0.067
webster.lits         88 |    8957    8921    9584  0.935  0.931 |    5542    5567    5415  1.023  1.028 |  1908452  0.144
x-ray.lits          147 |    8427    8424    8867  0.950  0.950 |    5271    5296    5144  1.025  1.030 |  4060661  0.086
xml.lits              5 |   10460   10414   10804  0.968  0.964 |    6075    6089    5951  1.021  1.023 |   113868  0.112
geomean dec A/B 0.951  R/B 0.948 | enc A/B 1.024  R/B 1.028 | mean saving 0.104%  (12 files)
