ab_wire3  G=4096  joint=off  (A = v6 larger-first, R = v6 right-first, B = v4; ratio>1 = v6 faster)
file            windows |    decA    decR    decB   dA/B   dR/B |    encA    encR    encB   eA/B   eR/B |  v4bytes    sv%
dickens.lits        173 |    6850    6963    8178  0.838  0.851 |    4858    4888    4619  1.052  1.058 |   463810  0.880
mozilla.lits       2763 |    4946    5052    6075  0.814  0.832 |    4041    4207    3832  1.054  1.098 | 10500208  0.630
mr.lits             384 |    6451    6501    7801  0.827  0.833 |    4448    4517    4264  1.043  1.059 |  1231740  0.759
nci.lits            205 |    7815    7914    9292  0.841  0.852 |    5379    5402    5091  1.056  1.061 |   439187  0.909
ooffice.lits        427 |    5578    5618    6764  0.825  0.831 |    3947    3998    3738  1.056  1.070 |  1584772  0.796
osdb.lits           502 |    6227    6334    7534  0.827  0.841 |    4217    4272    4009  1.052  1.065 |  1831510  0.688
reymont.lits         91 |    7611    7590    8931  0.852  0.850 |    5190    5210    4945  1.050  1.054 |   260152  0.730
samba.lits          580 |    6988    6920    8125  0.860  0.852 |    5045    5048    4821  1.046  1.047 |  2085688  0.542
sao.lits            957 |    6612    6677    7860  0.841  0.849 |    5014    5035    4786  1.048  1.052 |  3752918  0.468
webster.lits        706 |    6042    6147    7434  0.813  0.827 |    4579    4618    4302  1.064  1.073 |  1927431  0.940
x-ray.lits         1183 |    5181    5347    6492  0.798  0.824 |    4233    4292    4009  1.056  1.070 |  4096623  0.709
xml.lits             45 |    7361    7360    8787  0.838  0.838 |    5089    5092    4809  1.058  1.059 |   125326  0.786
geomean dec A/B 0.831  R/B 0.840 | enc A/B 1.053  R/B 1.064 | mean saving 0.736%  (12 files)
