ab_wire3  G=4096  joint=coarse  (A = v6 larger-first, R = v6 right-first, B = v4; ratio>1 = v6 faster)
file            windows |    decA    decR    decB   dA/B   dR/B |    encA    encR    encB   eA/B   eR/B |  v4bytes    sv%
dickens.lits        173 |   11429   11675   12681  0.901  0.921 |    7075    7093    6853  1.032  1.035 |   463046  0.329
mozilla.lits       2763 |    6819    7892    8419  0.810  0.937 |    5215    5243    4961  1.051  1.057 | 10500070  0.393
mr.lits             384 |    5912    7052    7478  0.791  0.943 |    4339    4357    4132  1.050  1.054 |  1231758  0.741
nci.lits            205 |   11148   11506   12468  0.894  0.923 |    6981    7007    6720  1.039  1.043 |   439283  0.453
ooffice.lits        427 |    7901    8404    9105  0.868  0.923 |    5301    5326    5096  1.040  1.045 |  1587355  0.375
osdb.lits           502 |    8610    9091    9783  0.880  0.929 |    5530    5559    5326  1.038  1.044 |  1841750  0.353
reymont.lits         91 |   12834   12882   14170  0.906  0.909 |    7540    7536    7324  1.029  1.029 |   259474  0.266
samba.lits          580 |   17222   17748   19075  0.903  0.930 |    8718    8742    8516  1.024  1.027 |  2087602  0.144
sao.lits            957 |    6650    7400    7919  0.840  0.935 |    5006    5027    4789  1.045  1.050 |  3758001  0.426
webster.lits        706 |   10282   10618   11805  0.871  0.899 |    6778    6815    6543  1.036  1.042 |  1921448  0.361
x-ray.lits         1183 |    7073    7802    8457  0.836  0.923 |    5216    5238    5030  1.037  1.041 |  4106984  0.417
xml.lits             45 |   11403   11840   12816  0.890  0.924 |    6955    6977    6738  1.032  1.036 |   125255  0.331
geomean dec A/B 0.865  R/B 0.925 | enc A/B 1.038  R/B 1.042 | mean saving 0.382%  (12 files)
