ab_wire3  G=4096  joint=off  (A = v6 larger-first, R = v6 right-first, B = v4; ratio>1 = v6 faster)
file            windows |    decA    decR    decB   dA/B   dR/B |    encA    encR    encB   eA/B   eR/B |  v4bytes    sv%
dickens.lits        173 |    6792    7269    7827  0.868  0.929 |    4632    4667    4395  1.054  1.062 |   463810  0.880
mozilla.lits       2763 |    4705    5454    5795  0.812  0.941 |    3847    3892    3670  1.048  1.060 | 10500208  0.630
mr.lits             384 |    5988    7015    7475  0.801  0.938 |    4309    4335    4086  1.055  1.061 |  1231740  0.759
nci.lits            205 |    7705    8349    8979  0.858  0.930 |    5182    5203    4906  1.056  1.061 |   439187  0.909
ooffice.lits        427 |    5222    6246    6525  0.800  0.957 |    3789    3822    3597  1.053  1.063 |  1584772  0.796
osdb.lits           502 |    6162    6908    7285  0.846  0.948 |    4082    4102    3884  1.051  1.056 |  1831510  0.688
reymont.lits         91 |    7657    8215    8705  0.880  0.944 |    5044    5056    4791  1.053  1.055 |   260152  0.730
samba.lits          580 |    6745    7540    7982  0.845  0.945 |    4892    4914    4648  1.052  1.057 |  2085688  0.542
sao.lits            957 |    6450    7138    7697  0.838  0.927 |    4861    4891    4637  1.049  1.055 |  3752918  0.468
webster.lits        706 |    5738    6781    7266  0.790  0.933 |    4447    4469    4180  1.064  1.069 |  1927431  0.940
x-ray.lits         1183 |    5020    6082    6495  0.773  0.937 |    4110    4167    3886  1.058  1.072 |  4096623  0.709
xml.lits             45 |    7514    8191    8624  0.871  0.950 |    4944    4985    4689  1.054  1.063 |   125326  0.786
geomean dec A/B 0.831  R/B 0.940 | enc A/B 1.054  R/B 1.061 | mean saving 0.736%  (12 files)
