ab_wire3  G=32768  joint=coarse  (A = v6 larger-first, R = v6 right-first, B = v4; ratio>1 = v6 faster)
file            windows |    decA    decR    decB   dA/B   dR/B |    encA    encR    encB   eA/B   eR/B |  v4bytes    sv%
dickens.lits         21 |   12512   13661   14293  0.875  0.956 |    7549    7545    7405  1.019  1.019 |   449484  0.057
mozilla.lits        345 |   11197   11992   12509  0.895  0.959 |    6659    6645    6510  1.023  1.021 | 10690179  0.048
mr.lits              48 |    8337    9009    9368  0.890  0.962 |    5334    5343    5198  1.026  1.028 |  1248098  0.096
nci.lits             25 |   13362   14611   15006  0.890  0.974 |    7831    7861    7761  1.009  1.013 |   427085  0.079
ooffice.lits         53 |    9725   10261   10796  0.901  0.950 |    6078    6060    5941  1.023  1.020 |  1602317  0.039
osdb.lits            62 |   10119   10917   11286  0.897  0.967 |    6228    6211    6123  1.017  1.014 |  1820785  0.049
reymont.lits         11 |   13332   14758   15141  0.881  0.975 |    7811    7788    7688  1.016  1.013 |   248813  0.044
samba.lits           72 |   21229   22564   23230  0.914  0.971 |    9364    9347    9183  1.020  1.018 |  2100757  0.019
sao.lits            119 |    8379    8958    9284  0.902  0.965 |    5606    5580    5502  1.019  1.014 |  3780834  0.066
webster.lits         88 |   11761   12496   13433  0.876  0.930 |    7194    7194    7040  1.022  1.022 |  1913692  0.060
x-ray.lits          147 |    9345    9923   10395  0.899  0.955 |    5979    5995    5871  1.018  1.021 |  4090577  0.047
xml.lits              5 |   12281   13346   13414  0.916  0.995 |    7243    7194    7072  1.024  1.017 |   114453  0.063
geomean dec A/B 0.895  R/B 0.963 | enc A/B 1.020  R/B 1.018 | mean saving 0.055%  (12 files)
