ab_wire3  G=32768  joint=off  (A = v6 larger-first, R = v6 right-first, B = v4; ratio>1 = v6 faster)
file            windows |    decA    decR    decB   dA/B   dR/B |    encA    encR    encB   eA/B   eR/B |  v4bytes    sv%
dickens.lits         21 |    8457    9155    9631  0.878  0.951 |    5593    5569    5471  1.022  1.018 |   448063  0.137
mozilla.lits        345 |    9070    9823   10172  0.892  0.966 |    5717    5708    5579  1.025  1.023 | 10652168  0.079
mr.lits              48 |    8354    9048    9391  0.890  0.963 |    5362    5355    5217  1.028  1.026 |  1248098  0.096
nci.lits             25 |    9326   10211   10763  0.866  0.949 |    6070    6080    5908  1.027  1.029 |   425939  0.144
ooffice.lits         53 |    7508    8143    8509  0.882  0.957 |    4792    4797    4683  1.023  1.024 |  1589951  0.111
osdb.lits            62 |    8066    8722    9172  0.879  0.951 |    5036    5040    4918  1.024  1.025 |  1802024  0.094
reymont.lits         11 |   10672   11791   12148  0.879  0.971 |    6734    6763    6600  1.020  1.025 |   248567  0.106
samba.lits           72 |    9804   10572   10901  0.899  0.970 |    6210    6205    6059  1.025  1.024 |  2094521  0.071
sao.lits            119 |    8401    8959    9297  0.904  0.964 |    5577    5579    5460  1.021  1.022 |  3778622  0.067
webster.lits         88 |    8367    9098    9617  0.870  0.946 |    5550    5544    5398  1.028  1.027 |  1908452  0.144
x-ray.lits          147 |    7883    8544    8842  0.892  0.966 |    5276    5262    5135  1.027  1.025 |  4060661  0.086
xml.lits              5 |    9762   10714   10909  0.895  0.982 |    6066    6069    5948  1.020  1.020 |   113868  0.112
geomean dec A/B 0.885  R/B 0.961 | enc A/B 1.024  R/B 1.024 | mean saving 0.104%  (12 files)
