ab_wire3  G=32768  joint=off  (A = v6 larger-first, R = v6 right-first, B = v4; ratio>1 = v6 faster)
file            windows |    decA    decR    decB   dA/B   dR/B |    encA    encR    encB   eA/B   eR/B |  v4bytes    sv%
dickens.lits         21 |    9281    9327    9841  0.943  0.948 |    5673    5684    5557  1.021  1.023 |   448063  0.137
mozilla.lits        345 |    9763    9831   10342  0.944  0.951 |    5790    5815    5655  1.024  1.028 | 10652168  0.079
mr.lits              48 |    9101    9057    9492  0.959  0.954 |    5392    5413    5280  1.021  1.025 |  1248098  0.096
nci.lits             25 |   10330   10315   10938  0.944  0.943 |    6152    6157    6000  1.025  1.026 |   425939  0.144
ooffice.lits         53 |    8171    8190    8571  0.953  0.956 |    4845    4854    4720  1.026  1.028 |  1589951  0.111
osdb.lits            62 |    8797    8778    9244  0.952  0.950 |    5080    5086    4967  1.023  1.024 |  1802024  0.094
reymont.lits         11 |   11491   11476   12175  0.944  0.943 |    6820    6842    6670  1.023  1.026 |   248567  0.106
samba.lits           72 |   10588   10601   11115  0.953  0.954 |    6258    6282    6119  1.023  1.027 |  2094521  0.071
sao.lits            119 |    8981    8970    9386  0.957  0.956 |    5645    5668    5534  1.020  1.024 |  3778622  0.067
webster.lits         88 |    9011    9042    9659  0.933  0.936 |    5597    5602    5457  1.026  1.027 |  1908452  0.144
x-ray.lits          147 |    8535    8543    8945  0.954  0.955 |    5324    5328    5192  1.026  1.026 |  4060661  0.086
xml.lits              5 |   10576   10520   10946  0.966  0.961 |    6142    6162    6031  1.018  1.022 |   113868  0.112
geomean dec A/B 0.950  R/B 0.950 | enc A/B 1.023  R/B 1.026 | mean saving 0.104%  (12 files)
