ab_wire3  G=16384  joint=coarse  (A = v6 larger-first, R = v6 right-first, B = v4; ratio>1 = v6 faster)
file            windows |    decA    decR    decB   dA/B   dR/B |    encA    encR    encB   eA/B   eR/B |  v4bytes    sv%
dickens.lits         43 |   12734   12731   14332  0.888  0.888 |    7529    7484    7290  1.033  1.027 |   460376  0.113
mozilla.lits        690 |   10765   10903   12070  0.892  0.903 |    6506    6492    6260  1.039  1.037 | 10636265  0.097
mr.lits              96 |    8094    8124    9068  0.893  0.896 |    5238    5226    5015  1.044  1.042 |  1242291  0.201
nci.lits             51 |   13203   13199   14861  0.888  0.888 |    7746    7700    7535  1.028  1.022 |   435698  0.147
ooffice.lits        106 |    9683    9726   10761  0.900  0.904 |    6027    6003    5846  1.031  1.027 |  1594240  0.083
osdb.lits           125 |   10615   10680   11865  0.895  0.900 |    6436    6406    6258  1.029  1.024 |  1837836  0.084
reymont.lits         22 |   13777   13748   15392  0.895  0.893 |    7886    7824    7636  1.033  1.025 |   248886  0.083
samba.lits          145 |   22314   22372   24621  0.906  0.909 |    9504    9384    9260  1.026  1.013 |  2105087  0.036
sao.lits            239 |    8520    8580    9477  0.899  0.905 |    5803    5787    5589  1.038  1.036 |  3789443  0.107
webster.lits        176 |   11861   11851   13436  0.883  0.882 |    7216    7193    6982  1.033  1.030 |  1913895  0.113
x-ray.lits          295 |    9263    9311   10341  0.896  0.900 |    5982    5953    5813  1.029  1.024 |  4103541  0.094
xml.lits             11 |   12002   12115   13499  0.889  0.897 |    7166    7139    6914  1.036  1.033 |   124022  0.118
geomean dec A/B 0.894  R/B 0.897 | enc A/B 1.033  R/B 1.028 | mean saving 0.106%  (12 files)
