ab_wire3  G=4096  joint=off  (A = v6 larger-first, R = v6 right-first, B = v4; ratio>1 = v6 faster)
file            windows |    decA    decR    decB   dA/B   dR/B |    encA    encR    encB   eA/B   eR/B |  v4bytes    sv%
dickens.lits        173 |    6954    7028    7984  0.871  0.880 |    4764    4769    4533  1.051  1.052 |   463810  0.880
mozilla.lits       2763 |    4836    4989    5778  0.837  0.864 |    3974    4139    3798  1.046  1.090 | 10500208  0.630
mr.lits             384 |    6277    6654    7341  0.855  0.906 |    4410    4474    4197  1.051  1.066 |  1231740  0.759
nci.lits            205 |    7888    8044    9085  0.868  0.885 |    5294    5299    5025  1.053  1.055 |   439187  0.909
ooffice.lits        427 |    5350    5722    6047  0.885  0.946 |    3876    3946    3676  1.055  1.073 |  1584772  0.796
osdb.lits           502 |    6241    6419    7334  0.851  0.875 |    4166    4246    3964  1.051  1.071 |  1831510  0.688
reymont.lits         91 |    7741    7793    8804  0.879  0.885 |    5118    5133    4866  1.052  1.055 |   260152  0.730
samba.lits          580 |    6858    7077    7845  0.874  0.902 |    4960    4985    4725  1.050  1.055 |  2085688  0.542
sao.lits            957 |    6568    6871    7704  0.853  0.892 |    4927    4953    4704  1.047  1.053 |  3752918  0.468
webster.lits        706 |    5797    6222    6985  0.830  0.891 |    4507    4564    4236  1.064  1.077 |  1927431  0.940
x-ray.lits         1183 |    5104    5444    6107  0.836  0.892 |    4154    4228    3922  1.059  1.078 |  4096623  0.709
xml.lits             45 |    7559    7605    8724  0.866  0.872 |    5005    5007    4746  1.055  1.055 |   125326  0.786
geomean dec A/B 0.859  R/B 0.891 | enc A/B 1.053  R/B 1.065 | mean saving 0.736%  (12 files)
